# Generated from assets/fonts/lucide.ttf (best cmap, PUA only)
ethernet-port	E620
euro	E0B8
ev-charger	E697
expand	E21A
external-link	E0B9
eye	E0BA
eye-closed	E62E
eye-off	E0BB
facebook	E0BC
factory	E29F
fan	E379
fast-forward	E0BD
feather	E0BE
fence	E582
ferris-wheel	E47F
figma	E0BF
file	E0C0
file-archive	E30D
file-audio-2	E31A
file-axis-3-d	E30E
file-badge-2	E30F
file-bar-chart	E312
file-bar-chart-2	E311
file-box	E310
file-braces	E36B
file-braces-corner	E36C
file-chart-line	E313
file-chart-pie	E314
file-check	E0C1
file-check-2	E0C2
file-clock	E315
file-code	E0C3
file-code-2	E45E
file-cog-2	E316
file-diff	E317
file-digit	E0C4
file-down	E318
file-edit	E31F
file-exclamation-point	E319
file-heart	E31B
file-image	E31C
file-input	E0C5
file-key-2	E31D
file-lock-2	E31E
file-minus	E0C6
file-minus-2	E0C7
file-music	E55E
file-output	E0C8
file-pen-line	E320
file-play	E321
file-plus	E0C9
file-plus-2	E0CA
file-question-mark	E322
file-scan	E323
file-search	E0CB
file-search-2	E324
file-signal	E325
file-sliders	E5A0
file-spreadsheet	E326
file-stack	E4A1
file-symlink	E327
file-terminal	E328
file-text	E0CC
file-type	E329
file-type-2	E36D
file-up	E32A
file-user	E62D
file-video-2	E32B
file-volume	E32C
file-x	E0CD
file-x-2	E0CE
files	E0CF
film	E0D0
filter	E0DC
filter-x	E3B5
fingerprint-pattern	E2CB
fire-extinguisher	E57E
fish	E3A6
fish-off	E3B0
fish-symbol	E4F4
flag	E0D1
flag-off	E292
flag-triangle-left	E237
flag-triangle-right	E238
flame	E0D2
flame-kindling	E53A
flashlight	E0D3
flashlight-off	E0D4
flask-conical	E0D5
flask-conical-off	E396
flask-round	E0D6
flip-horizontal	E35D
flip-horizontal-2	E35E
flip-vertical	E35F
flip-vertical-2	E360
flower	E2D3
flower-2	E2D4
focus	E29E
fold-horizontal	E43B
fold-vertical	E43C
folder	E0D7
folder-archive	E32D
folder-check	E32E
folder-clock	E32F
folder-closed	E330
folder-code	E5FB
folder-cog-2	E331
folder-dot	E4C5
folder-down	E332
folder-edit	E338
folder-git	E409
folder-git-2	E40A
folder-heart	E333
folder-input	E334
folder-kanban	E4C6
folder-key	E335
folder-lock	E336
folder-minus	E0D8
folder-open	E247
folder-open-dot	E4C7
folder-output	E337
folder-plus	E0D9
folder-root	E4C8
folder-search	E339
folder-search-2	E33A
folder-symlink	E33B
folder-sync	E4C9
folder-tree	E33C
folder-up	E33D
folder-x	E33E
folders	E33F
footprints	E3B9
fork-knife	E2F6
fork-knife-crossed	E2F7
forklift	E3C1
form	E6A8
form-input	E21F
forward	E229
frame	E291
framer	E0DA
frown	E0DB
fuel	E2AF
fullscreen	E534
function-square	E22D
funnel-plus	E0DD
gallery-horizontal	E4CE
gallery-horizontal-end	E4CF
gallery-thumbnails	E4D0
gallery-vertical	E4D1
gallery-vertical-end	E4D2
gamepad	E0DE
gamepad-2	E0DF
gamepad-directional	E69B
gantt-chart-square	E169
gauge	E1BF
gavel	E0E0
gem	E242
georgian-lari	E678
ghost	E20E
gift	E0E1
git-branch	E0E2
git-branch-minus	E69C
git-branch-plus	E1F4
git-commit-horizontal	E0E3
git-commit-vertical	E552
git-compare	E359
git-compare-arrows	E553
git-fork	E28D
git-graph	E554
git-merge	E0E4
git-pull-request	E0E5
git-pull-request-arrow	E555
git-pull-request-closed	E35A
git-pull-request-create	E556
git-pull-request-create-arrow	E557
git-pull-request-draft	E35B
github	E0E6
gitlab	E0E7
glass-water	E2D5
glasses	E20D
globe	E0E8
globe-lock	E5CD
goal	E4A5
gpu	E66A
grab	E1E6
graduation-cap	E234
grape	E352
grid-2-x-2	E4FF
grid-2-x-2-check	E5E4
grid-2-x-2-plus	E628
grid-2-x-2-x	E5E5
grid-3-x-3	E0E9
grid-3x2	E66F
grip	E3B1
grip-horizontal	E0EA
grip-vertical	E0EB
group	E464
guitar	E55F
ham	E5D7
hamburger	E665
hammer	E0EC
hand	E1D7
hand-coins	E5B8
hand-fist	E68B
hand-heart	E5B9
hand-helping	E3B8
hand-metal	E22C
hand-platter	E5BA
handbag	E689
handshake	E5C0
hard-drive	E0ED
hard-drive-download	E4E5
hard-drive-upload	E4E6
hard-hat	E0EE
hash	E0EF
hat-glasses	E683
haze	E0F0
hdmi-port	E4E7
heading	E384
heading-1	E385
heading-2	E386
heading-3	E387
heading-4	E388
heading-5	E389
heading-6	E38A
headphone-off	E629
headphones	E0F1
headset	E5BD
heart	E0F2
heart-crack	E2D6
heart-handshake	E2D7
heart-minus	E651
heart-off	E295
heart-plus	E652
heart-pulse	E36E
heater	E58E
helicopter	E69D
hexagon	E0F3
highlighter	E0F4
history	E1F5
home	E0F5
hop	E397
hop-off	E398
hospital	E5D8
hotel	E3E2
hourglass	E296
house-heart	E695
house-plug	E5F0
house-plus	E5F1
house-wifi	E63C
ice-cream-2	E3A7
ice-cream-cone	E353
id-card	E617
id-card-lanyard	E670
image	E0F6
image-down	E53C
image-minus	E1F6
image-off	E1C0
image-play	E5DF
image-plus	E1F7
image-up	E5CB
image-upscale	E637
images	E5C4
import	E22F
inbox	E0F7
indent-decrease	E107
indent-increase	E108
indian-rupee	E0F8
infinity	E1E7
info	E0F9
inspect	E202
inspection-panel	E583
instagram	E0FA
italic	E0FB
iteration-ccw	E423
iteration-cw	E424
japanese-yen	E0FC
joystick	E355
kanban	E4DC
kanban-square	E170
kanban-square-dashed	E16C
kayak	E68F
key	E0FD
key-round	E4A3
key-square	E4A4
keyboard	E284
keyboard-music	E560
keyboard-off	E5DE
lamp	E2D8
lamp-ceiling	E2D9
lamp-desk	E2DA
lamp-floor	E2DB
lamp-wall-down	E2DC
lamp-wall-up	E2DD
land-plot	E528
landmark	E23A
languages	E0FE
laptop	E1CD
laptop-2	E1D8
laptop-minimal-check	E632
lasso	E1CE
lasso-select	E1CF
laugh	E300
layers-2	E52A
layers-3	E529
layout	E12C
layout-dashboard	E1C1
layout-grid	E0FF
layout-list	E1D9
layout-panel-left	E470
layout-panel-top	E471
layout-template	E207
leaf	E2DE
leafy-green	E46F
lectern	E5E9
letter-text	E605
library	E100
library-big	E54E
library-square	E54F
life-buoy	E101
ligature	E43A
lightbulb	E1C2
lightbulb-off	E208
line-squiggle	E67A
link	E102
link-2	E103
link-2-off	E104
linkedin	E105
list	E106
list-check	E5FA
list-checks	E1D0
list-chevrons-down-up	E694
list-chevrons-up-down	E696
list-collapse	E59B
list-end	E2DF
list-filter	E460
list-filter-plus	E639
list-minus	E23E
list-music	E2E0
list-ordered	E1D1
list-plus	E23F
list-restart	E452
list-start	E2E1
list-todo	E4C3
list-tree	E408
list-video	E2E2
list-x	E240
loader	E109
loader-2	E10A
loader-pinwheel	E5E6
locate	E1DA
locate-fixed	E1DB
locate-off	E282
location-edit	E655
lock	E10B
lock-keyhole	E531
lock-keyhole-open	E532
lock-open	E10C
log-in	E10D
log-out	E10E
logs	E5F4
lollipop	E4BD
luggage	E2CA
m-square	E503
magnet	E2B5
mail	E10F
mail-check	E361
mail-minus	E362
mail-open	E363
mail-plus	E364
mail-question-mark	E365
mail-search	E366
mail-warning	E367
mail-x	E368
mailbox	E3D4
mails	E369
map	E110
map-minus	E686
map-pin	E111
map-pin-check	E60F
map-pin-check-inside	E610
map-pin-house	E61C
map-pin-minus	E611
map-pin-minus-inside	E612
map-pin-off	E2A6
map-pin-plus	E613
map-pin-plus-inside	E614
map-pin-x	E615
map-pin-x-inside	E616
map-pinned	E53D
map-plus	E63F
mars	E641
